timestamp,product,site,old_price,new_price
2026-04-30 08:39:10,Huggies Pure Wet Wipes 10x56buc,eMAG,59.0,49.99
2026-05-01 08:05:36,Pampers Pants Mega Box nr 5 96buc (Altex),Altex,139.15,151.25
2026-05-01 13:00:28,Pampers Active Baby Pants Size 5 164buc,eMAG,279.98,326.48
2026-05-02 02:01:13,Pampers Pants Mega Box nr 5 96buc (Altex),Altex,151.25,188.0
2026-05-02 18:46:20,Pampers Active Baby Pants Size 5 164buc,eMAG,326.48,299.99
2026-05-03 02:04:50,Pampers Active Baby Pants Size 5 164buc,eMAG,299.99,289.99
2026-05-04 02:04:50,Braun ThermoScan 7 IRT6520B,eMAG,300.93,301.0
2026-05-04 08:21:02,Pampers Active Baby Pants Size 5 164buc,eMAG,289.99,229.99
2026-05-05 19:12:33,Pampers Active Baby Pants Size 5 164buc,eMAG,229.99,199.99
2026-05-06 13:49:48,"Servetele umede HUGGIES Natural Care, 10 pachete, 560 buc(Altex)",Altex,58.95,69.9
2026-05-06 19:26:54,Pampers Active Baby Pants Size 5 164buc,eMAG,199.99,172.49
2026-05-06 19:26:59,Huggies Pure Wet Wipes 10x56buc,eMAG,49.99,63.23
2026-05-07 02:06:42,Huggies Pure Wet Wipes 10x56buc,eMAG,63.23,66.09
2026-05-07 08:21:21,Huggies Pure Wet Wipes 10x56buc,eMAG,66.09,66.55
2026-05-07 13:50:42,Huggies Pure Wet Wipes 10x56buc,eMAG,66.55,66.09
2026-05-08 19:07:35,Huggies Pure Wet Wipes 10x56buc,eMAG,66.09,49.99
2026-05-10 13:00:12,Pampers Active Baby Pants Size 5 164buc,eMAG,172.49,279.99
2026-05-11 02:26:37,Pampers Active Baby Pants Size 5 164buc,eMAG,279.99,289.99
2026-05-11 09:02:28,Pampers Pants Mega Box nr 5 96buc (Altex),Altex,188.0,151.25
